5	2	-5	10	26	2	1	35
1	2	-5	0	26	1	1	35
0	2	-5	0	25.6	1	1	35
0	2	-5	0	25.5	1	1	35
5	2	-5	10	25	2	1	35
0	2	-5	0	25	1	1	35
1	2	-5	0	25	1	1	35
3	1	0	15	8	2	1	35
1	2	-5	10	20	2	1	34.96
3	2	0	15	25	2	1	34.7
3	2	0	15	28	2	1	34.55
3	1	0	15	5	2	1	34.5
1	2	-5	0	25.5	1	1	34.462
3	2	0	15	32.89	2	1	34.358
0	2	-5	0	26	1	1	34.34
3	2	0	15	29.3	2	1	34.31
1	2	-5	0	25.5	1	1	34.261
3	2	0	15	24.52	2	1	34.111
0	2	-5	0	20	1	1	34
3	2	0	15	25	2	1	33.9208
1	2	-5	10	10	2	1	33.72
3	2	0	15	56	2	1	33.49
3	2	0	15	30	2	1	33.456
3	2	0	15	20	2	1	33.44
3	2	0	15	40	2	1	33.419
3	2	0	15	33	2	1	33.4
3	2	0	15	33.59	2	1	33.345
1	2	-5	0	26	1	1	33.214
3	2	0	15	40	2	1	33.097
3	2	0	15	30	2	1	33.07
3	2	0	15	33	2	1	32.759
3	2	0	15	33	2	1	32.759
3	2	0	15	4	2	1	32.601
3	1	0	15	5	2	1	32.5
3	2	0	15	13	2	1	32.444
3	2	0	15	33.69	2	1	32.28
1	2	-10	0	28	1	1	32.2
1	2	-5	0	25.9	1	1	32.11
2	2	-10	0	29	1	1	32.08
1	2	-5	0	26	1	1	32.03
1	2	-5	0	26	1	1	32
1	2	-5	0	25.6	1	1	32
5	2	-5	10	23	2	1	32
3	1	0	15	6	2	1	32
1	2	0	4	3.76	4	1	31.987
3	2	0	15	33.28	2	1	31.887
1	2	-5	10	50	2	1	31.8
3	2	0	15	27.07	2	1	31.685
1	2	-10	0	47	1	1	31.579
1	2	0	4	0.05	2	1	31.496
1	2	-10	0	54	1	1	31.492
3	2	0	15	32	2	1	31.405
3	2	0	15	32	2	1	31.4046
3	2	0	15	4	2	1	31.33
3	2	-5	0	26	1	1	31
3	2	0	15	25	2	1	30.7
3	2	0	15	10	2	1	30.67
0	2	-5	0	26	1	1	30.63
3	2	0	15	30	2	1	30.45
3	2	0	15	30	2	1	30.36
3	2	0	15	40	2	1	30.318
1	2	-10	0	59	1	1	30
1	2	-10	0	38	1	1	30
3	2	0	15	30	2	1	30
1	2	-5	0	26.9	1	1	30
0	2	-5	0	26	1	1	30
0	2	-5	0	26	1	1	30
0	2	-5	0	25.8	1	1	30
0	2	-5	0	25.4	1	1	30
1	2	-5	0	24.6	1	1	30
3	2	-5	0	24.2	1	1	30
1	2	-5	0	24	1	1	30
1	2	-5	0	24	1	1	30
1	2	-5	10	12	2	1	30
3	2	0	15	40	2	1	29.9
0	2	-5	0	23.5	1	1	29.8
1	2	-5	0	22.5	1	1	29.76
3	2	0	15	27.68	2	1	29.661
3	2	0	15	10	2	1	29.392
3	2	0	15	5	2	1	29.3
3	2	0	15	20.03	2	1	29.298
3	2	0	15	22.5	2	1	29.16
3	2	0	15	25	2	1	29.15
1	2	-5	0	21	1	1	29
1	2	-2	4	43.35	1	1	28.98
3	2	0	15	26.7	2	1	28.836
3	2	0	15	6	2	1	28.623
3	2	0	15	4	2	1	28.49
3	2	0	15	37	2	1	28.448
3	2	0	15	36	2	1	28.4463
1	2	-10	0	36	1	1	28.39
3	2	0	15	30	2	1	28.367
3	2	0	15	30	2	1	28.2
3	2	-10	0	21.35	2	1	28.174
1	2	0	4	3.12	4	1	28.174
3	2	0	15	4	2	1	28.1363
3	2	0	15	4	2	1	28.069
3	2	0	15	4	2	1	28.058
3	2	0	15	26	2	1	28.006
3	2	0	15	26	2	1	28.0059
3	2	0	15	31	2	1	28
1	2	-5	0	25	1	1	28
1	2	-5	0	22.4	1	1	28
3	2	0	15	35.2	2	1	27.985
3	2	0	15	4	2	1	27.87
1	2	-5	0	25.7	1	1	27.82
3	1	0	15	7	2	1	27.8
3	2	0	15	4	2	1	27.8
3	2	0	15	35	2	1	27.685
3	2	0	15	26	2	1	27.633
3	2	0	15	26	2	1	27.633
3	2	0	15	29.99	2	1	27.403
3	3	0	15	52	2	1	27.371
3	2	0	15	26	2	1	27.371
3	2	0	15	26	2	1	27.371
3	2	0	15	28.13	2	1	27.36
3	2	0	15	28.05	2	1	27.28
3	2	0	15	25	2	1	27.2
1	2	-5	0	25.9	1	1	27.12
